Result_ID,Fighter_Name,Fight_ID,Decision,Match_Result,Seed,DefendingIndicator
4324,ROB,1911,l,0,,
4325,Lucario,1911,w,1,,
4326,DK,1912,l,0,,
4327,Fox,1912,w,1,,
4328,Lucas,1913,w,1,,
4329,Snake,1913,l,0,,
4330,Toon Link,1914,w,3,,
4331,Marth,1914,l,0,,
4332,Wario,1915,w,1,,
4333,Samus,1915,l,0,,
4334,Mr Game & Watch,1916,w,1,,
4335,Olimar,1916,l,0,,
4336,Captain Falcon,1917,w,1,,
4337,Ganondorf,1917,l,0,,
4338,King Dedede,1918,l,0,,
4339,Luigi,1918,w,2,,
4340,Meta Knight,1919,l,0,,
4341,Kirby,1919,w,1,,
4342,Yoshi,1920,l,0,,
4343,Pit,1920,w,2,,
4344,Ice Climbers,1921,w,3,,
4345,Peach,1921,l,0,,
4346,Ness,1922,w,1,,
4347,Wolf,1922,l,0,,
4348,Diddy Kong,1923,w,3,,
4349,Jigglypuff,1923,l,0,,
4350,Samus,1924,l,0,,
4351,Lucario,1924,w,1,,
4352,Fox,1925,w,3,,
4353,DK,1925,l,0,,
4354,Falco,1926,l,0,,
4355,Ike,1926,w,1,,
4356,Pit,1927,l,0,,
4357,Yoshi,1927,w,1,,
4358,Pikachu,1928,w,1,,
4359,King Dedede,1928,l,0,,
4360,Luigi,1929,l,0,,
4361,Mario,1929,l,0,,
4362,Ganondorf,1929,w,0,,
4363,Link,1929,w,1,,
4364,Captain Falcon,1930,w,3,,
4365,Bowser,1930,l,0,,
4366,Ice Climbers,1931,w,2,,
4367,Marth,1931,l,0,,
4368,DK,1932,w,2,,
4369,Peach,1932,l,0,,
4370,Wario,1933,w,2,,
4371,Wolf,1933,l,0,,
4372,Samus,1934,w,2,,
4373,Snake,1934,l,0,,
4374,Lucas,1935,w,1,,
4375,Ness,1935,l,-1,,
4376,Ganondorf,1936,l,0,,
4377,Mr Game & Watch,1936,w,2,,
4378,Link,1937,w,2,,
4379,Bowser,1937,l,0,,
4380,Falco,1938,w,3,,
4381,Olimar,1938,l,0,,
4382,King Dedede,1939,l,0,,
4383,Yoshi,1939,l,0,,
4384,Luigi,1939,w,1,,
4385,Ike,1940,l,0,,
4386,Kirby,1940,w,2,,
4387,Pikachu,1941,w,2,,Y
4388,Captain Falcon,1941,l,0,,
4389,Toon Link,1942,w,1,,Y
4390,Zelda,1942,w,0,,Y
4391,Ganondorf,1942,l,0,,
4392,Link,1942,l,0,,
4393,Diddy Kong,1943,w,1,,Y
4394,Ice Climbers,1943,l,0,,
4395,Pokemon Trainer,1944,l,7,,Y
4396,Mr Game & Watch,1944,w,37,,
4397,Sonic,1945,w,1,,Y
4398,Lucas,1945,l,-1,,
4399,Mario,1946,w,1,,Y
4400,Kirby,1946,l,0,,
4401,Diddy Kong,1947,w,1,,Y
4402,Wario,1947,l,0,,
4403,Lucario,1948,l,0,,
4404,Fox,1948,l,0,,
4405,Pit,1948,l,0,,
4406,Luigi,1948,w,1,,
4407,Samus,1949,l,0,,
4408,DK,1949,w,1,,
4409,Marth,1950,w,1,,
4410,Peach,1950,l,0,,
4411,Toon Link,1951,w,2,,
4412,Ness,1951,l,0,,
4413,Lucas,1952,w,1,,
4414,Fox,1952,l,0,,
4415,Wario,1953,l,0,,
4416,ROB,1953,l,0,,
4417,Lucario,1953,w,1,,
4418,Luigi,1954,w,2,,
4419,Meta Knight,1954,l,0,,
4420,Mr Game & Watch,1955,w,1,,
4421,King Dedede,1955,l,0,,
4422,Falco,1956,l,0,,
4423,Captain Falcon,1956,w,1,,
4424,Bowser,1957,l,0,,
4425,Pokemon Trainer,1957,w,3,,
4426,Yoshi,1958,l,0,,
4427,Pit,1958,w,1,,
4428,Ness,1959,l,0,,
4429,DK,1959,w,1,,
4430,Sonic,1960,w,3,,
4431,Jigglypuff,1960,l,0,,
4432,ROB,1961,l,0,,
4433,Samus,1961,l,0,,
4434,Snake,1961,w,1,,
4435,Wolf,1961,w,0,,
4436,Marth,1962,w,2,,
4437,Zelda,1962,l,0,,
4438,Lucario,1963,l,0,,
4439,Lucas,1963,w,2,,
4440,Falco,1964,l,0,,
4441,Link,1964,w,2,,
4442,Ganondorf,1965,l,0,,
4443,Pit,1965,w,3,,
4444,Mario,1966,w,1,,
4445,Bowser,1966,l,0,,
4446,Yoshi,1967,w,1,,
4447,Olimar,1967,l,0,,
4448,King Dedede,1968,l,0,,
4449,Meta Knight,1968,w,2,,
4450,Yoshi,1969,w,3,,
4451,Ness,1969,l,0,,
4452,Fox,1970,l,-1,,
4453,Marth,1970,w,1,,
4454,Diddy Kong,1971,w,1,,Y
4455,ROB,1971,l,0,,
4456,Toon Link,1972,w,3,,
4457,Ice Climbers,1972,l,0,,
4458,Lucario,1973,l,0,,
4459,Wario,1973,w,1,,
4460,King Dedede,1974,w,2,,
4461,Ike,1974,l,0,,
4462,Pokemon Trainer,1975,l,0,,
4463,Meta Knight,1975,w,1,,
4464,Pikachu,1976,w,1,,
4465,Falco,1976,l,0,,
4466,Captain Falcon,1977,l,0,,
4467,Mr Game & Watch,1977,w,1,,
4468,Kirby,1978,w,1,,
4469,Link,1978,l,0,,
4470,Sonic,1979,l,-1,,Y
4471,Marth,1979,w,1,,
4472,Toon Link,1980,w,1,,Y
4473,Zelda,1980,w,2,,Y
4474,Snake,1980,l,0,,
4475,Wolf,1980,l,0,,
4476,Pikachu,1981,l,0,,Y
4477,Pit,1981,w,2,,
4478,Diddy Kong,1982,w,3,,Y
4479,DK,1982,l,0,,
4480,Mr Game & Watch,1983,l,0,,Y
4481,Yoshi,1983,w,175,,
4482,Meta Knight,1984,l,0,,
4483,Pokemon Trainer,1984,l,0,,
4484,Toon Link,1984,l,0,,
