Fight_ID,Location_ID,Brand_ID,PPV_ID,Championship_ID,FightType_ID,Season_ID,Month,Week,Contender_Indicator
3105,57,1,,,1,7,1,1,
3106,57,1,,,1,7,1,1,
3107,57,1,,,1,7,1,1,
3108,57,1,,,1,7,1,1,
3109,57,1,,,2,7,1,1,Y
3110,1,2,,,1,7,1,1,
3111,1,2,,,1,7,1,1,
3112,1,2,,,1,7,1,1,
3113,1,2,,,1,7,1,1,
3114,1,2,,,1,7,1,1,Y
3115,52,3,,,1,7,1,1,
3116,52,3,,,1,7,1,1,
3117,52,3,,,1,7,1,1,
3118,52,3,,,1,7,1,1,Y
3119,52,3,,,1,7,1,1,
3120,75,1,,,1,7,1,2,
3121,75,1,,,1,7,1,2,
3122,75,1,,,1,7,1,2,Y
3123,75,1,,,1,7,1,2,
3124,75,1,,,1,7,1,2,
3125,66,2,,,1,7,1,2,
3126,66,2,,,1,7,1,2,
3127,66,2,,,1,7,1,2,
3128,66,2,,,1,7,1,2,
3129,66,2,,,1,7,1,2,Y
3130,,3,,,1,7,1,2,
3131,,3,,,1,7,1,2,
3132,,3,,,1,7,1,2,
3133,,3,,,1,7,1,2,
3134,,3,,,1,7,1,2,Y
3135,56,1,,,12,7,1,3,Y
3136,56,1,,,1,7,1,3,
3137,56,1,,,1,7,1,3,
3138,56,1,,,1,7,1,3,
3139,56,1,,,1,7,1,3,Y
3140,53,2,,,1,7,1,3,
3141,53,2,,,1,7,1,3,
3142,53,2,,,1,7,1,3,
3143,53,2,,,2,7,1,3,Y
3144,53,2,,,1,7,1,3,
3145,107,3,,,1,7,1,3,
3146,107,3,,,1,7,1,3,
3147,107,3,,,1,7,1,3,
3148,107,3,,,1,7,1,3,Y
3149,107,3,,,1,7,1,3,
3150,45,,1,5,1,7,1,4,
3151,45,,1,3,2,7,1,4,
3152,45,,1,9,1,7,1,4,
3153,45,,1,11,12,7,1,4,
3154,45,,1,6,2,7,1,4,
3155,45,,1,2,1,7,1,4,
3156,45,,1,8,1,7,1,4,
3157,45,,1,4,1,7,1,4,
3158,45,,1,1,1,7,1,4,
3159,45,,1,7,1,7,1,4,
3160,45,,1,,8,7,1,4,
3161,24,1,,,1,7,2,1,
3162,24,1,,,1,7,2,1,
3163,24,1,,,1,7,2,1,
3164,24,1,,,1,7,2,1,
3165,24,1,,,1,7,2,1,Y
3166,38,2,,,1,7,2,1,
3167,38,2,,,1,7,2,1,
3168,38,2,,,1,7,2,1,
3169,38,2,,,4,7,2,1,Y
3170,38,2,,,1,7,2,1,
3171,61,3,,,1,7,2,1,
3172,61,3,,,1,7,2,1,
3173,61,3,,,1,7,2,1,
3174,61,3,,,1,7,2,1,
3175,61,3,,,1,7,2,1,Y
3176,65,1,,,1,7,2,2,
3177,65,1,,,1,7,2,2,
3178,65,1,,,1,7,2,2,
3179,65,1,,,1,7,2,2,
3180,65,1,,,2,7,2,2,Y
3181,29,2,,,1,7,2,2,
3182,29,2,,,12,7,2,2,Y
3183,29,2,,,1,7,2,2,
3184,29,2,,,1,7,2,2,Y
3185,29,2,,,1,7,2,2,
3186,25,3,,,1,7,2,2,
3187,25,3,,,1,7,2,2,
3188,25,3,,,1,7,2,2,
3189,25,3,,,1,7,2,2,
3190,25,3,,,1,7,2,2,Y
3191,71,1,,,1,7,2,3,
3192,71,1,,,1,7,2,3,
3193,71,1,,,1,7,2,3,
3194,71,1,,,1,7,2,3,
3195,71,1,,,1,7,2,3,Y
3196,69,2,,,1,7,2,3,
3197,69,2,,,1,7,2,3,
3198,69,2,,,1,7,2,3,
3199,69,2,,,1,7,2,3,
3200,69,2,,,1,7,2,3,Y
3201,39,3,,,1,7,2,3,
3202,39,3,,,1,7,2,3,
3203,39,3,,,1,7,2,3,
3204,39,3,,,1,7,2,3,
3205,39,3,,,1,7,2,3,Y
3206,41,,2,9,1,7,2,4,
3207,41,,2,2,1,7,2,4,
3208,41,,2,6,2,7,2,4,
3209,41,,2,8,1,7,2,4,
3210,41,,2,3,4,7,2,4,
3211,41,,2,5,1,7,2,4,
3212,41,,2,11,12,7,2,4,
3213,41,,2,,7,7,2,4,
3214,41,,2,7,1,7,2,4,
3215,41,,2,4,1,7,2,4,
3216,41,,2,1,1,7,2,4,
3217,51,1,,,1,7,3,1,
3218,51,1,,,1,7,3,1,
3219,51,1,,,1,7,3,1,
3220,51,1,,,1,7,3,1,
3221,51,1,,,2,7,3,1,Y
3222,13,2,,,1,7,3,1,
3223,13,2,,,1,7,3,1,
3224,13,2,,,1,7,3,1,
3225,13,2,,,1,7,3,1,
3226,13,2,,,4,7,3,1,Y
3227,26,3,,,1,7,3,1,
3228,26,3,,,1,7,3,1,
3229,26,3,,,1,7,3,1,
3230,26,3,,,1,7,3,1,
3231,26,3,,,1,7,3,1,Y
3232,76,1,,,1,7,3,2,
3233,76,1,,,1,7,3,2,
3234,76,1,,,1,7,3,2,
3235,76,1,,,1,7,3,2,
3236,76,1,,,1,7,3,2,Y
3237,64,2,,,1,7,3,2,
3238,64,2,,,1,7,3,2,
3239,64,2,,,1,7,3,2,
3240,64,2,,,1,7,3,2,Y
