Fight_ID,Location_ID,Brand_ID,PPV_ID,Championship_ID,FightType_ID,Season_ID,Month,Week,Contender_Indicator
1911,1,1,,,1,5,1,1,
1912,1,1,,,1,5,1,1,
1913,1,1,,,1,5,1,1,
1914,1,1,,,1,5,1,1,
1915,1,1,,,1,5,1,1,Y
1916,2,2,,,1,5,1,1,Y
1917,2,2,,,1,5,1,1,
1918,2,2,,,1,5,1,1,
1919,2,2,,,1,5,1,1,
1920,2,2,,,1,5,1,1,
1921,3,1,,,1,5,1,2,
1922,3,1,,,1,5,1,2,
1923,3,1,,,1,5,1,2,
1924,3,1,,,1,5,1,2,
1925,3,1,,,1,5,1,2,
1926,30,2,,,1,5,1,2,
1927,30,2,,,1,5,1,2,
1928,30,2,,,1,5,1,2,
1929,30,2,,,12,5,1,2,Y
1930,30,2,,,1,5,1,2,Y
1931,4,1,,,1,5,1,3,Y
1932,4,1,,,1,5,1,3,
1933,4,1,,,1,5,1,3,
1934,4,1,,,1,5,1,3,
1935,4,1,,,2,5,1,3,Y
1936,48,2,,,1,5,1,3,
1937,48,2,,,1,5,1,3,
1938,48,2,,,1,5,1,3,
1939,48,2,,,1,5,1,3,
1940,48,2,,,1,5,1,3,Y
1941,6,,1,2,1,5,1,4,
1942,6,,1,11,12,5,1,4,
1943,6,,1,5,1,5,1,4,
1944,6,,1,3,3,5,1,4,
1945,6,,1,6,2,5,1,4,
1946,6,,1,1,1,5,1,4,
1947,6,,1,4,1,5,1,4,
1948,6,,1,,8,5,1,4,
1949,7,1,,,1,5,2,1,
1950,7,1,,,1,5,2,1,
1951,7,1,,,1,5,2,1,
1952,7,1,,,1,5,2,1,
1953,7,1,,,1,5,2,1,
1954,31,2,,,1,5,2,1,
1955,31,2,,,1,5,2,1,
1956,31,2,,,1,5,2,1,
1957,31,2,,,1,5,2,1,
1958,31,2,,,1,5,2,1,Y
1959,8,1,,,1,5,2,2,Y
1960,8,1,,,1,5,2,2,
1961,8,1,,,12,5,2,2,Y
1962,8,1,,,1,5,2,2,
1963,8,1,,,1,5,2,2,Y
1964,9,2,,,1,5,2,2,
1965,9,2,,,1,5,2,2,
1966,9,2,,,1,5,2,2,
1967,9,2,,,4,5,2,2,Y
1968,9,2,,,1,5,2,2,
1969,10,1,,,1,5,2,3,
1970,10,1,,,2,5,2,3,Y
1971,10,1,,5,1,5,2,3,
1972,10,1,,,1,5,2,3,
1973,10,1,,,1,5,2,3,
1974,11,2,,,1,5,2,3,
1975,11,2,,,1,5,2,3,
1976,11,2,,,1,5,2,3,
1977,11,2,,,1,5,2,3,
1978,11,2,,,1,5,2,3,Y
1979,13,,2,6,2,5,2,4,
1980,13,,2,11,12,5,2,4,
1981,13,,2,2,1,5,2,4,
1982,13,,2,5,1,5,2,4,
1983,13,,2,3,4,5,2,4,
1984,13,,2,,7,5,2,4,
